# GrowthFix LP 禁止語辞書（lint_consistency.sh が参照）
# 形式: section<TAB>level<TAB>term<TAB>reason<TAB>replace<TAB>extra_exclude
# section: "1" / "1.5" / "7.1"（出力先セクション）
# level:   "error" = ERRORS カウント / "warning" = WARNINGS カウント
# extra_exclude: 任意・個別ファイル除外パターン（glob）。空欄可
# 順序: 既存 lint_consistency.sh の check_forbidden* 呼び出し順を厳守
1	error	ホームドクター	旧Orbit positioning	共鳴の参謀
1	error	セラピスト	旧医療メタファー	心の参謀
1	error	外科医	旧医療メタファー	変革の参謀
1	error	Gravity Light	廃止サービス	（言及不要）
1	error	Gravity Core	廃止サービス	（言及不要）
1	error	月5-15万	Coaching旧価格	38万・6ヶ月
1	error	月15万・継続対話	Coaching旧表記	38万・6ヶ月
1	error	月15/25万	Orbit旧表記（スラッシュ）	月15-25万
1	error	13 ページ	WP旧ページ数	25 ページ
1	error	13ページ	WP旧ページ数	25 ページ
1	error	12 ページ	WP旧ページ数	25 ページ
1	error	12ページ	WP旧ページ数	25 ページ
1	error	5サービス体系	260430で6サービス相当（Shift 2パッケージ化）	6 サービス相当
1	error	6サービス体系	260422→260430移行期の旧表記	6 サービス相当
1	error	Gravity Blueprint	260430 夕 Scan リブート	Gravity Scan
1	error	設計の参謀	260430 夕 Blueprint→Scan リブート（Scan は引力の参謀（組織軸））	引力の参謀（組織軸）
1	error	採用口説きブループリント	260430 夕 主成果物移管	面接ブループリント 5 要素（Shift R Week 1-2 納品物）
1	error	Shift 60万	旧Shift価格	Shift R/C 各 80 万
1	error	採用に強い会社をつくる	260430 タグライン進化	優秀人材が躍動する会社をつくる(会社思想) or 組織に、引力を。(プロダクト思想)	*seminar-acting*
1	error	人材磁場 × 躍動設計	260430 夕 撤回	(コピーから削除)
1	error	Recruit 60万	Recruit 価格 SSOT 違反（正：80 万）	Gravity Recruit 80 万・3 ヶ月
1	error	Cultivate 60万	Cultivate 価格 SSOT 違反（正：150 万・6 ヶ月）	Gravity Cultivate 150 万・6 ヶ月
1	error	Cultivate 80万	Cultivate 旧価格（260511 拡張・正：150 万・6 ヶ月）	Gravity Cultivate 150 万・6 ヶ月
1	error	Cultivate・80 万・3 ヶ月	Cultivate 旧価格・期間（260511 拡張・正：150 万・6 ヶ月）	Gravity Cultivate 150 万・6 ヶ月
1	error	Coaching 月	Coaching 旧 月額制（正：38 万・6 ヶ月一括）	Gravity Coaching 38 万・6 ヶ月
1	error	Orbit 38万	Orbit 価格混同（正：月 5 万・最低 6 ヶ月）	Gravity Orbit 月 5 万・最低 6 ヶ月
